id,pps_actual_20,pps_anterior_20,asistencia_teorico_pct,asistencia_laboratorio_pct,asistencia_total_pct,autoeficacia_academica,entregas_tarea_puntual,horas_de_estudio_semana,indice_procrastinacion,alimentacion,actividad_fisica,horas_pantalla_no_academica,horas_sueno,habitos_vida,puntualidad_pago,ingresos_mensual,deuda_academica,tipo_financiamiento,costo_servicio_mensual,indice_financiero,horas_deporte,horas_cultura,horas_extracurriculares,horas_trabajo_semana,estres,apoyo_social,rendimiento,riesgo_de_desercion,bienestar_estudiantil
1,En_proceso,En_proceso,Excelente,Baja,Media,Media,Consistente,Limitado,Ocasional,Moderada,Frecuente,Bajo,Deficiente,Regular,Puntual,Muy_Bajo,Sin_deuda,Financiamiento_Familiar,Bajo,Sostenible,Frecuente,Nula,Baja,Ninguna,Bajo,Excelente,En_proceso,Bajo,Excelente
2,En_proceso,Previsto,Baja,Excelente,Media,Alta,Moderado,Insuficiente,Constante,Moderada,Nula,Moderado,Excesivo,Regular,Puntual,Muy_Bajo,Con_deuda,Financiamiento_Familiar,Bajo,Vulnerable,Nula,Frecuente,Baja,Parcial_baja,Muy_alto,Bueno,En_proceso,Medio,Critico
3,Previsto,Previsto,Baja,Baja,Baja,Baja,Consistente,Adecuado,Ocasional,Moderada,Constante,Moderado,Adecuado,Bueno,Impuntual,Medio,Con_deuda,Pago_Directo,Muy_Bajo,Vulnerable,Constante,Nula,Media,Ninguna,Muy_alto,Moderado,En_proceso,Medio,Critico
4,Previsto,Previsto,Media,Alta,Media,Excelente,Moderado,Intensivo,Frecuente,Inadecuada,Frecuente,Bajo,Adecuado,Bueno,Puntual,Alto,Sin_deuda,Credito,Bajo,Sostenible,Frecuente,Frecuente,Media,Parcial_alta,Muy_alto,Excelente,Previsto,Medio,Regular
5,Previsto,En_proceso,Excelente,Excelente,Excelente,Excelente,Ejemplar,Adecuado,Frecuente,Adecuada,Nula,Moderado,Regular,Bueno,Impuntual,Bajo,Con_deuda,Financiamiento_Familiar,Muy_Bajo,Vulnerable,Nula,Ocasional,Baja,Parcial_alta,Bajo,Excelente,Destacado,Bajo,Excelente
6,Inicio,Inicio,Baja,Baja,Baja,Baja,Critico,Insuficiente,Constante,Inadecuada,Baja,Moderado,Deficiente,Deficiente,Puntual,Muy_Bajo,Sin_deuda,Pago_Directo,Bajo,Sostenible,Ocasional,Nula,Baja,Parcial_alta,Muy_alto,Moderado,Inicio,Alto,Critico
7,Inicio,Inicio,Baja,Alta,Baja,Media,Critico,Limitado,Constante,Inadecuada,Nula,Moderado,Deficiente,Deficiente,Impuntual,Muy_Bajo,Sin_deuda,Pago_Directo,Muy_Bajo,Riesgo_moderado,Nula,Ocasional,Baja,Tiempo_completo,Bajo,Bueno,Inicio,Medio,Regular
8,Destacado,Destacado,Media,Alta,Media,Excelente,Consistente,Intensivo,Minimo,Moderada,Constante,Bajo,Excesivo,Bueno,Impuntual,Muy_Bajo,Con_deuda,Financiamiento_Familiar,Muy_Bajo,Vulnerable,Constante,Constante,Alta,Parcial_baja,Muy_alto,Insuficiente,Destacado,Bajo,Critico
9,Destacado,Previsto,Baja,Media,Baja,Media,Ejemplar,Adecuado,Ocasional,Moderada,Frecuente,Bajo,Regular,Bueno,Puntual,Bajo,Sin_deuda,Financiamiento_Familiar,Muy_Bajo,Estable,Frecuente,Nula,Baja,Ninguna,Bajo,Bueno,Previsto,Bajo,Excelente
10,Destacado,Destacado,Media,Alta,Media,Alta,Consistente,Adecuado,Minimo,Moderada,Baja,Bajo,Adecuado,Excelente,Puntual,Muy_Bajo,Sin_deuda,Credito,Bajo,Riesgo_moderado,Ocasional,Constante,Media,Parcial_baja,Bajo,Excelente,Previsto,Bajo,Excelente
11,Previsto,Previsto,Excelente,Alta,Excelente,Media,Ejemplar,Limitado,Ocasional,Moderada,Baja,Moderado,Excesivo,Regular,Puntual,Alto,Con_deuda,Financiamiento_Familiar,Bajo,Sostenible,Ocasional,Constante,Media,Tiempo_completo,Moderado,Insuficiente,Previsto,Alto,Critico
12,Previsto,Previsto,Alta,Baja,Baja,Alta,Moderado,Intensivo,Minimo,Moderada,Baja,Bajo,Deficiente,Regular,Puntual,Bajo,Con_deuda,Pago_Directo,Bajo,Vulnerable,Ocasional,Constante,Media,Ninguna,Bajo,Moderado,Previsto,Bajo,Regular
13,Previsto,Previsto,Media,Alta,Media,Alta,Consistente,Limitado,Frecuente,Moderada,Nula,Moderado,Excesivo,Regular,Puntual,Medio,Con_deuda,Pago_Directo,Bajo,Riesgo_moderado,Nula,Nula,Baja,Parcial_alta,Moderado,Moderado,Previsto,Medio,Critico
14,En_proceso,En_proceso,Media,Media,Baja,Media,Critico,Limitado,Ocasional,Inadecuada,Baja,Moderado,Regular,Deficiente,Impuntual,Muy_Bajo,Sin_deuda,Pago_Directo,Bajo,Vulnerable,Ocasional,Ocasional,Baja,Ninguna,Bajo,Excelente,Inicio,Bajo,Regular
15,En_proceso,Previsto,Excelente,Media,Alta,Excelente,Consistente,Limitado,Ocasional,Adecuada,Nula,Alto,Deficiente,Deficiente,Puntual,Muy_Bajo,Sin_deuda,Credito,Bajo,Riesgo_moderado,Nula,Ocasional,Baja,Parcial_baja,Bajo,Excelente,Previsto,Bajo,Regular
16,Inicio,Inicio,Excelente,Excelente,Excelente,Media,Critico,Insuficiente,Constante,Moderada,Nula,Moderado,Excesivo,Regular,Impuntual,Bajo,Sin_deuda,Pago_Directo,Bajo,Riesgo_moderado,Nula,Nula,Baja,Parcial_alta,Bajo,Moderado,En_proceso,Medio,Regular
