id,pps_actual_20,pps_anterior_20,asistencia_teorico_pct,asistencia_laboratorio_pct,asistencia_total_pct,autoeficacia_academica,entregas_tarea_puntual,horas_de_estudio_semana,indice_procrastinacion,alimentacion,actividad_fisica,horas_pantalla_no_academica,horas_sueno,habitos_vida,puntualidad_pago,ingresos_mensual,deuda_academica,tipo_financiamiento,costo_servicio_mensual,indice_financiero,horas_deporte,horas_cultura,horas_extracurriculares,horas_trabajo_semana,estres,apoyo_social,rendimiento,riesgo_de_desercion,bienestar_estudiantil
1,En proceso,En proceso,Baja,Baja,Excelente,Alta,Moderado,Insuficiente,Mínimo,Adecuada,Baja,Bajo,Excesivo,Excelente,Puntual,Muy Bajo,Sin deuda,Financiamiento Familiar,Bajo,Estable,Nula,Frecuente,Alta,Parcial alta,Muy alto,Bueno,En proceso,Alto,Crítico
2,En proceso,Inicio,Baja,Media,Excelente,Media,Moderado,Adecuado,Ocasional,Adecuada,Nula,Bajo,Deficiente,Excelente,Puntual,Muy Bajo,Sin deuda,Financiamiento Familiar,Bajo,Riesgo moderado,Constante,Constante,Baja,Ninguna,Alto,Insuficiente,En proceso,Medio,Regular
3,En proceso,Previsto,Baja,Media,Excelente,Alta,Moderado,Adecuado,Mínimo,Adecuada,Baja,Alto,Regular,Bueno,Puntual,Medio,Sin deuda,Pago Directo,Muy Bajo,Vulnerable,Nula,Constante,Media,Tiempo completo,Muy alto,Excelente,Previsto,Bajo,Crítico
4,Previsto,Previsto,Baja,Baja,Baja,Baja,Moderado,Adecuado,Mínimo,Inadecuada,Nula,Moderado,Adecuado,Excelente,Puntual,Alto,Sin deuda,Credito,Bajo,Sostenible,Constante,Constante,Alta,Ninguna,Bajo,Excelente,Inicio,Bajo,Crítico
5,Inicio,Inicio,Baja,Media,Baja,Excelente,Crítico,Limitado,Ocasional,Adecuada,Baja,Moderado,Deficiente,Bueno,Puntual,Bajo,Sin deuda,Financiamiento Familiar,Muy Bajo,Vulnerable,Constante,Constante,Media,Parcial alta,Bajo,Insuficiente,Destacado,Alto,Excelente
6,Inicio,Inicio,Baja,Media,Media,Media,Crítico,Insuficiente,Constante,Moderada,Baja,Moderado,Regular,Excelente,Puntual,Muy Bajo,Sin deuda,Pago Directo,Bajo,Sostenible,Frecuente,Nula,Alta,Parcial baja,Moderado,Excelente,En proceso,Bajo,Excelente
7,Inicio,Inicio,Baja,Baja,Alta,Media,Moderado,Limitado,Ocasional,Adecuada,Nula,Alto,Deficiente,Bueno,Puntual,Muy Bajo,Sin deuda,Pago Directo,Muy Bajo,Vulnerable,Frecuente,Nula,Baja,Tiempo completo,Bajo,Moderado,En proceso,Alto,Regular
8,Destacado,Destacado,Baja,Media,Excelente,Baja,Moderado,Adecuado,Mínimo,Adecuada,Baja,Moderado,Adecuado,Excelente,Puntual,Muy Bajo,Sin deuda,Financiamiento Familiar,Muy Bajo,Vulnerable,Nula,Nula,Baja,Ninguna,Muy alto,Moderado,Previsto,Alto,Excelente
9,En proceso,En proceso,Baja,Baja,Alta,Baja,Moderado,Limitado,Ocasional,Adecuada,Frecuente,Moderado,Excesivo,Excelente,Puntual,Bajo,Sin deuda,Financiamiento Familiar,Muy Bajo,Estable,Frecuente,Frecuente,Media,Parcial alta,Bajo,Insuficiente,Destacado,Alto,Regular
10,En proceso,Inicio,Baja,Baja,Excelente,Baja,Moderado,Limitado,Ocasional,Moderada,Baja,Alto,Regular,Excelente,Puntual,Muy Bajo,Sin deuda,Credito,Bajo,Vulnerable,Ocasional,Frecuente,Alta,Ninguna,Alto,Excelente,Previsto,Alto,Regular
11,Destacado,Destacado,Baja,Media,Media,Baja,Moderado,Adecuado,Mínimo,Moderada,Baja,Moderado,Regular,Excelente,Puntual,Alto,Sin deuda,Financiamiento Familiar,Bajo,Vulnerable,Nula,Constante,Media,Parcial alta,Bajo,Moderado,Inicio,Medio,Regular
12,Previsto,Destacado,Baja,Media,Alta,Excelente,Consistente,Adecuado,Mínimo,Adecuada,Nula,Bajo,Excesivo,Excelente,Impuntual,Bajo,Sin deuda,Pago Directo,Bajo,Estable,Frecuente,Frecuente,Baja,Parcial baja,Alto,Excelente,Destacado,Bajo,Excelente
13,Inicio,Inicio,Baja,Baja,Excelente,Baja,Moderado,Insuficiente,Frecuente,Adecuada,Nula,Moderado,Adecuado,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Estable,Constante,Frecuente,Alta,Ninguna,Moderado,Moderado,En proceso,Medio,Regular
14,Destacado,Destacado,Baja,Baja,Alta,Excelente,Consistente,Adecuado,Mínimo,Inadecuada,Baja,Moderado,Regular,Excelente,Puntual,Muy Bajo,Sin deuda,Pago Directo,Bajo,Vulnerable,Frecuente,Nula,Alta,Parcial alta,Alto,Bueno,Inicio,Bajo,Regular
15,En proceso,En proceso,Baja,Baja,Baja,Alta,Moderado,Limitado,Ocasional,Adecuada,Baja,Alto,Excesivo,Excelente,Impuntual,Muy Bajo,Con deuda,Credito,Bajo,Vulnerable,Frecuente,Ocasional,Alta,Tiempo completo,Moderado,Bueno,Inicio,Bajo,Crítico
16,Previsto,Previsto,Baja,Baja,Baja,Alta,Moderado,Adecuado,Ocasional,Moderada,Nula,Alto,Adecuado,Excelente,Impuntual,Bajo,Con deuda,Pago Directo,Bajo,Estable,Ocasional,Ocasional,Baja,Parcial alta,Moderado,Insuficiente,Inicio,Bajo,Regular
17,Destacado,Destacado,Baja,Baja,Excelente,Alta,Consistente,Adecuado,Mínimo,Moderada,Baja,Alto,Adecuado,Bueno,Impuntual,Medio,Con deuda,Beca Total,Bajo,Sostenible,Nula,Ocasional,Baja,Tiempo completo,Muy alto,Bueno,Previsto,Bajo,Crítico
18,Destacado,Destacado,Baja,Baja,Alta,Media,Crítico,Adecuado,Ocasional,Adecuada,Baja,Bajo,Excesivo,Excelente,Puntual,Bajo,Con deuda,Beca Parcial,Bajo,Vulnerable,Constante,Constante,Baja,Parcial alta,Bajo,Bueno,Previsto,Alto,Regular
19,Previsto,Destacado,Baja,Baja,Baja,Excelente,Consistente,Adecuado,Mínimo,Adecuada,Baja,Alto,Excesivo,Excelente,Puntual,Medio,Sin deuda,Financiamiento Familiar,Bajo,Estable,Frecuente,Constante,Media,Tiempo completo,Alto,Insuficiente,En proceso,Alto,Excelente
20,Inicio,Inicio,Baja,Baja,Baja,Alta,Crítico,Insuficiente,Ocasional,Adecuada,Nula,Moderado,Adecuado,Excelente,Puntual,Medio,Sin deuda,Credito,Bajo,Vulnerable,Frecuente,Frecuente,Baja,Parcial baja,Muy alto,Moderado,Inicio,Medio,Regular
21,Destacado,Destacado,Baja,Baja,Media,Media,Crítico,Adecuado,Mínimo,Moderada,Nula,Bajo,Excesivo,Excelente,Puntual,Muy Bajo,Sin deuda,Pago Directo,Bajo,Vulnerable,Nula,Ocasional,Media,Ninguna,Alto,Insuficiente,Inicio,Medio,Excelente
22,Previsto,Previsto,Baja,Media,Media,Media,Moderado,Adecuado,Mínimo,Inadecuada,Baja,Bajo,Adecuado,Excelente,Impuntual,Muy Bajo,Con deuda,Financiamiento Familiar,Muy Bajo,Sostenible,Nula,Frecuente,Alta,Tiempo completo,Alto,Bueno,Destacado,Alto,Crítico
