id,sex,semestre,carrera,tipo_colegio,pps_actual_20,pps_anterior_20,horas_de_estudio_semana,horas_trabajo_semana,horas_deporte,horas_cultura,horas_extracurriculares,horas_sueno,estres,apoyo_social,autoeficacia_academica,entregas_tarea_puntual,ingresos_mensual_cat,ingresos_mensual,tipo_financiamiento,costo_servicio_mensual_cat,horas_pantalla_no_academica,deuda_academica_flag,deuda_academica_months,puntualidad_pago,indice_financiero,rendimiento,asistencia_total_pct,indice_procrastinacion,alimentacion,phc_score,tiene_hijos,desercion
1,M,3,Salud,Publico,9.17,9.79,5.52,6.730543037682004,42.858665978039106,2.0437698105778246,48.706737698735544,4.9,40.38,71.93,55.55,82.12,Muy_bajo,300,Financiamiento_familiar,Bajo,16.088356471307637,1,1,Impuntual,0.22,72.27,93.05,40.16,7.0,15.21,0,0
2,F,3,Negocios,Publico,10.71,12.46,4.07,29.217500332589424,52.77346520193628,77.76468522116934,80.0,23.79,0.0,9.2,33.83,74.25,Muy_bajo,300,Financiamiento_familiar,Bajo,13.594898418284245,0,0,Puntual,60.48,49.6,3.52,56.76,4.25,83.26,0,1
3,F,6,Artes,Publico,15.14,14.53,10.04,12.497508862440112,43.00759925280731,17.09358638803863,60.240141702470034,16.83,0.0,78.25,55.44,87.12,Medio,1200,Pago_directo,Muy_bajo,18.8439627084535,0,0,Puntual,71.11,75.34,40.65,24.74,7.0,0.0,0,0
4,F,2,Ingenieria,Concertado,15.82,14.22,13.77,42.07451954887542,0.5555642199149613,47.010976612558906,49.97571392983417,15.06,27.56,60.48,61.15,66.59,Alto,3000,Credito,Bajo,8.53821203796965,0,0,Puntual,100.0,77.82,62.04,44.25,7.0,13.39,0,1
5,M,6,Ciencias_Sociales,Publico,13.88,11.53,13.08,44.05857165375596,67.49682139645475,76.24443320402472,80.0,7.78,48.45,17.56,46.59,70.6,Bajo,600,Financiamiento_familiar,Muy_bajo,24.0,1,6,Impuntual,4.81,59.12,8.44,36.51,7.0,52.02,0,1
6,M,1,Ciencias_Sociales,Privado,8.95,8.69,4.21,56.77335596674482,16.092352610845744,2.4292081587610603,19.593408449123455,3.19,62.9,33.02,40.02,67.35,Muy_bajo,300,Pago_directo,Bajo,12.062695570652656,0,0,Puntual,60.65,63.1,79.53,32.69,7.0,81.19,0,1
7,M,5,Ciencias_Sociales,Publico,6.57,5.14,5.95,70.26225263385467,18.492368769404173,41.01877131164612,59.7541150429066,3.03,83.41,3.3,39.07,76.49,Muy_bajo,300,Pago_directo,Muy_bajo,23.120249231298896,0,0,Puntual,59.45,49.48,40.09,42.06,7.0,1.18,1,1
8,F,6,Artes,Concertado,16.3,14.88,15.64,37.45438530158886,51.837821012413556,42.137062959612436,80.0,20.8,0.0,77.7,66.9,88.57,Muy_bajo,300,Financiamiento_familiar,Muy_bajo,19.072081059200748,1,6,Impuntual,0.0,84.04,57.81,41.86,6.1,26.27,0,1
9,F,2,Salud,Concertado,19.04,16.98,13.02,18.66882960644853,38.2201324367895,28.118810336515203,67.35333033382777,10.38,19.35,74.49,67.35,78.99,Bajo,600,Financiamiento_familiar,Muy_bajo,5.55805845085333,0,0,Puntual,62.44,77.81,14.89,24.09,7.0,87.61,0,0
10,F,3,Ciencias_Sociales,Concertado,15.33,13.6,12.83,26.68573291533196,45.95839681634041,52.364217303330925,80.0,13.44,10.29,49.02,53.33,62.15,Muy_bajo,300,Credito,Bajo,6.404412660998356,1,1,Impuntual,2.7,59.56,1.45,55.38,7.0,52.39,0,1
11,M,1,Ingenieria,Privado,11.27,11.01,4.84,67.76718503511498,39.79991500259504,43.402397514491035,80.0,22.36,2.16,45.2,37.69,49.3,Alto,3000,Financiamiento_familiar,Bajo,9.738964547666338,0,0,Puntual,100.0,55.99,46.9,67.15,7.0,0.0,0,1
12,F,5,Ingenieria,Concertado,12.52,13.45,14.26,11.669078806300917,33.42901033872031,19.931304722272944,57.079821442716394,6.13,20.68,41.34,57.57,65.91,Bajo,600,Pago_directo,Bajo,9.83839438632223,0,0,Impuntual,36.68,60.16,26.49,45.47,7.0,22.68,0,1
13,F,4,Ciencias,Privado,16.49,16.24,6.45,50.180486267094594,38.66419771081518,56.424768864141384,80.0,18.33,0.29,0.0,37.89,57.76,Medio,1200,Pago_directo,Bajo,0.9905362969818902,0,0,Puntual,74.21,77.14,70.74,31.53,7.0,0.0,0,0
